湖南 NR 湖 南 O O
郴州市 NR 郴 市 O O
刘洪杰 NR 刘 杰 B-InPERGazetteer O
一 CD 一 一 O O
日 M 日 日 O O
， PU ， ， O O
我 PN 我 我 O O
到 VV 到 到 O O
民政 NN 民 政 O O
部门 NN 部 门 O O
办 VV 办 办 O O
点 M 点 点 O O
事 NN 事 事 O O
， PU ， ， O O
刚 AD 刚 刚 O O
一 CD 一 一 O O
坐下 VV 坐 下 O O
， PU ， ， O O
就 AD 就 就 O O
进来 VV 进 来 O O
一 CD 一 一 O O
位 M 位 位 O O
来访 VV 来 访 O O
的 DEC 的 的 O O
乡下 NN 乡 下 O O
老 JJ 老 老 O O
人 NN 人 人 O O
。 PU 。 。 O O
工作 NN 工 作 O O
人员 NN 人 员 O O
老李 NN 老 李 O O
笑吟吟 NN 笑 吟 O O
地 NN 地 地 O O
招呼 NN 招 呼 O O
老人 NN 老 人 O O
： PU ： ： O O
『 PU 『 『 O O
请坐 VV 请 坐 O O
！ PU ！ ！ O O
』 PU 』 』 O O
又 AD 又 又 O O
给 P 给 给 O O
泡 VV 泡 泡 O O
茶 NN 茶 茶 O O
递水 VV 递 水 O O
， PU ， ， O O
尔后 AD 尔 后 O O
拿出 VV 拿 出 O O
记录 NN 记 录 O O
本 AD 本 本 O O
向 P 向 向 O O
老 JJ 老 老 O O
人 NN 人 人 O O
询问 VV 询 问 O O
起来 VV 起 来 O O
。 PU 。 。 O O
老人 NN 老 人 O O
感动 VV 感 动 O O
得 DER 得 得 O O
连连 AD 连 连 O O
称赞 VV 称 赞 O O
： PU ： ： O O
『 PU 『 『 O O
干部 NN 干 部 O O
同志 NN 同 志 O O
， PU ， ， O O
你 PN 你 你 O O
有德 VV 有 德 O O
， PU ， ， O O
有德 VV 有 德 O O
呀 SP 呀 呀 O O
！ PU ！ ！ O O
』 PU 』 』 O O
事后 AD 事 后 O O
， PU ， ， O O
老李 NN 老 李 O O
对 P 对 对 O O
『 PU 『 『 O O
晾 NN 晾 晾 O O
在 P 在 在 O O
一 CD 一 一 O O
边 NN 边 边 O O
』 PU 』 』 O O
的 DEC 的 的 O O
我 PN 我 我 O O
说 VV 说 说 O O
： PU ： ： O O
『 PU 『 『 O O
老百姓 NN 老 姓 O O
上来 VV 上 来 O O
办 VV 办 办 O O
次 M 次 次 O O
事 NN 事 事 O O
不 AD 不 不 O O
易 VA 易 易 O O
呀 SP 呀 呀 O O
， PU ， ， O O
手 NN 手 手 O O
上 LC 上 上 O O
的 DEG 的 的 O O
农活 NN 农 活 O O
多 VA 多 多 O O
， PU ， ， O O
路 NN 路 路 O O
又 AD 又 又 O O
